STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
13,159,13530,13679,13776,13881,14024,14207
13,161,14927,15012,14954,15033,15015,15101
13,163,16127,15926,15773,15638,15423,15344
13,165,9040,8906,8823,8844,8790,8734
13,167,9813,9717,9679,9750,9767,9724
13,169,28641,28432,28572,28459,28603,28689
13,171,18187,18229,18462,18582,18866,19001
13,173,10362,10264,10444,10456,10450,10581
13,175,47553,47491,47287,47362,47293,47567
13,177,29139,29191,29203,29429,29764,30045
13,179,64217,61762,61672,61819,60887,62813
13,181,7644,7720,7859,7859,7927,7969
13,183,17058,17695,18392,18822,19148,19647
13,185,113630,113501,114457,115495,116361,117600
13,187,31122,31292,31422,32812,32934,33692
13,189,21529,21470,21481,21517,21545,21317
13,191,14067,14033,14068,14092,14243,14294
13,193,13822,13689,13483,13255,13153,12934
13,195,28376,28431,28833,29253,29653,29925
13,197,8636,8561,8490,8438,8392,8413
13,199,21201,21167,21052,21011,21061,21112
13,201,5943,5847,5875,5816,5646,5667
13,205,22712,22449,22443,22313,22156,21846
13,207,26637,26683,26880,27153,27523,27677
13,209,8978,8939,8996,9032,9157,9148
13,211,17894,17947,18097,18374,18808,19239
13,213,39212,39426,39322,39761,39836,39996
13,215,200746,198925,196354,193858,194362,196074
13,217,103470,104920,106529,107903,109556,111894
13,219,35077,35861,36928,38122,39500,40296
13,221,14532,14722,14710,14851,15034,15222
13,223,148562,151691,155415,159642,164482,169302
13,225,27391,27216,27111,27179,27574,27697
13,227,29807,30139,30654,31542,32039,32648
13,229,19004,19089,19116,19200,19398,19443
13,231,17774,17935,17916,18213,18622,18953
13,233,40876,41209,41584,41842,42373,42616
13,235,11520,11409,11296,11197,11079,11161
13,237,21142,21310,21502,21676,21749,22083
13,239,2287,2277,2323,2334,2254,2300
13,241,16159,16224,16493,16560,16853,17116
13,243,7315,7153,7150,6974,6826,6806
13,245,201448,201639,202179,201965,202027,202639
13,247,87222,88424,88995,89800,90402,90639
13,249,5189,5208,5179,5236,5212,5254
13,251,14001,14060,14015,13953,13960,13945
13,253,8596,8559,8424,8249,8266,8090
13,255,63703,63826,64523,65348,66092,66835
13,257,25429,25475,25680,25785,26083,26017
13,259,5882,5969,6129,6329,6434,6649
13,261,31089,30625,30334,29838,29713,29401
13,263,6535,6499,6361,6254,6281,6188
13,265,1691,1641,1616,1612,1610,1549
13,267,25319,25394,25352,25420,25508,25317
13,269,8453,8316,8256,8181,8067,8051
13,271,16448,16448,15960,15912,15888,15813
13,273,9081,9016,8873,8698,8601,8573
13,275,44784,44819,44967,44623,44336,44427
13,277,40456,40538,40562,40455,40562,40653
13,279,27131,27151,27141,26868,26910,26844
13,281,11081,11208,11416,11557,11844,12009
13,283,6813,6807,6720,6751,6780,6860
13,285,69341,69666,69990,70123,70091,70059
13,287,8069,7988,7970,7902,7917,7929
13,289,8399,8353,8263,8268,8179,8164
13,291,21782,22029,22664,23406,23961,24606
13,293,26166,26237,26243,26223,26249,26402
13,295,68714,68604,68509,69087,69507,69769
13,297,87557,88373,89886,91389,93450,94818
13,299,35520,35337,35675,35705,35703,35816
13,301,5459,5375,5355,5263,5227,5220
13,303,20549,20734,20349,20313,20418,20352
13,305,29916,29460,30038,29843,29874,30017
13,307,2612,2632,2607,2586,2575,2573
13,309,7984,7909,8012,7958,7891,7870
13,311,28025,28389,28793,29429,29893,30601
13,313,103039,103621,104314,104086,104109,104265
13,315,8929,9015,8834,8780,8784,8607
13,317,9960,9927,9808,9868,9845,9769
13,319,9283,9080,9021,8953,9005,8936
13,321,21010,20692,20732,20532,20307,20185
15,000,1415335,1422999,1428885,1425763,1423102,1415615
15,001,193812,196111,198583,200400,202263,202165
15,003,988002,991755,993044,986973,981076,973491
15,005,89,88,88,87,87,87
15,007,70316,71052,71574,71838,72292,72190
15,009,163116,163993,165596,166465,167384,167682
16,000,1632248,1652495,1684036,1719745,1752074,1789060
16,001,425774,433254,444929,456994,469161,481880
16,003,3884,3891,3944,4128,4215,4265
16,005,83587,84263,84762,85571,86761,87822
16,007,5931,5883,5940,6029,6026,6131
16,009,9035,8999,9033,9167,9222,9303
